id,zip,latitude,longitude
zipgeo_32003,32003,30.095584,-81.710162
zipgeo_32008,32008,29.907920,-82.897465
zipgeo_32009,32009,30.422502,-81.973824
zipgeo_32011,32011,30.569778,-81.840500
zipgeo_32013,32013,30.193666,-83.291204
zipgeo_32024,32024,30.091975,-82.731120
zipgeo_32025,32025,30.104026,-82.566168
zipgeo_32026,32026,30.059065,-82.190472
zipgeo_32033,32033,29.787856,-81.446744
zipgeo_32034,32034,30.601794,-81.481799
zipgeo_32038,32038,29.934936,-82.692234
zipgeo_32040,32040,30.247032,-82.235330
zipgeo_32043,32043,29.926711,-81.743631
zipgeo_32044,32044,29.857895,-82.178708
zipgeo_32046,32046,30.701152,-81.916587
zipgeo_32052,32052,30.490540,-82.944838
zipgeo_32053,32053,30.568840,-83.151870
zipgeo_32054,32054,30.033807,-82.394253
zipgeo_32055,32055,30.270103,-82.624130
zipgeo_32058,32058,30.107546,-82.106933
zipgeo_32059,32059,30.384943,-83.255970
zipgeo_32060,32060,30.274413,-83.036329
zipgeo_32061,32061,30.083085,-82.516655
zipgeo_32062,32062,30.137457,-82.978338
zipgeo_32063,32063,30.270901,-82.120398
zipgeo_32064,32064,30.293277,-82.991953
zipgeo_32065,32065,30.175071,-81.871668
zipgeo_32066,32066,30.039764,-83.205806
zipgeo_32068,32068,30.082951,-81.884022
zipgeo_32071,32071,30.058101,-82.955828
zipgeo_32072,32072,30.184037,-82.423425
zipgeo_32073,32073,30.167711,-81.739816
zipgeo_32079,32079,29.977993,-81.807021
zipgeo_32080,32080,29.816985,-81.265123
zipgeo_32081,32081,30.119606,-81.426613
zipgeo_32082,32082,30.111553,-81.371747
zipgeo_32083,32083,30.114597,-82.232781
zipgeo_32084,32084,29.913733,-81.365292
zipgeo_32086,32086,29.740948,-81.300160
zipgeo_32087,32087,30.364971,-82.298674
zipgeo_32091,32091,29.933025,-82.113403
zipgeo_32092,32092,29.929252,-81.521904
zipgeo_32094,32094,30.186943,-82.821820
