default_code,name,list_price,description,categories,attributes_json,num_images,image_urls,image_files,url,url_slug,product_id,error
,CUSTOM-DD,$0.00,,High-Impact Doors,"{""Finish Color"": [""Black"", ""White"", ""Bronze""], ""Width"": [""in & eights""], ""Height"": [""in & eights""], ""Handing"": [""Double""], ""Privacy Glass"": [""No"", ""Yes""], ""Door Brand"": [""ESW"", ""MRGLASS"", ""ECO"", ""CGI"", ""DORALUM"", ""PGT"", ""CWS"", ""SIW-MARVIN"", ""EUROTECH"", ""LAWSON"", ""V&V"", ""SUNSHINE""]}",4,https://www.indigodecors.com/web/image/product.product/5193/image_1920;https://www.indigodecors.com/web/image/product.product/5194/image_1920;https://www.indigodecors.com/web/image/product.product/5195/image_1920;https://www.indigodecors.com/web/image/product.template/376/image_1920,D:\01_Trabajo\Indigo\scraping\output\images\custom-dd\01.jpg;D:\01_Trabajo\Indigo\scraping\output\images\custom-dd\02.jpg;D:\01_Trabajo\Indigo\scraping\output\images\custom-dd\03.jpg;D:\01_Trabajo\Indigo\scraping\output\images\custom-dd\04.jpg,https://www.indigodecors.com/shop/custom-dd-376,custom-dd,376,
,CUSTOM-SD,$0.00,,High-Impact Doors > SINGLE DOORS,"{""Finish Color"": [""Black"", ""White"", ""Bronze""], ""Width"": [""in & eights""], ""Height"": [""in & eights""], ""Privacy Glass"": [""No"", ""Yes""], ""Door Brand"": [""ESW"", ""MRGLASS"", ""ECO"", ""CGI"", ""DORALUM"", ""PGT"", ""CWS"", ""SIW-MARVIN"", ""EUROTECH"", ""LAWSON"", ""V&V"", ""SUNSHINE""]}",4,https://www.indigodecors.com/web/image/product.product/5235/image_1920;https://www.indigodecors.com/web/image/product.product/5236/image_1920;https://www.indigodecors.com/web/image/product.product/5237/image_1920;https://www.indigodecors.com/web/image/product.template/377/image_1920,D:\01_Trabajo\Indigo\scraping\output\images\custom-sd\01.jpg;D:\01_Trabajo\Indigo\scraping\output\images\custom-sd\02.jpg;D:\01_Trabajo\Indigo\scraping\output\images\custom-sd\03.jpg;D:\01_Trabajo\Indigo\scraping\output\images\custom-sd\04.jpg,https://www.indigodecors.com/shop/custom-sd-377,custom-sd,377,
,ID01-DD,$0.00,,High-Impact Doors,"{""Finish Color"": [""Black"", ""White"", ""Bronze""], ""Width"": [""in & eights""], ""Height"": [""in & eights""], ""Privacy Glass"": [""No"", ""Yes""], ""Door Brand"": [""ESW"", ""MRGLASS"", ""ECO"", ""CGI"", ""DORALUM"", ""PGT"", ""CWS"", ""SIW-MARVIN"", ""EUROTECH"", ""LAWSON"", ""V&V"", ""SUNSHINE""]}",4,https://www.indigodecors.com/web/image/product.product/4757/image_1920;https://www.indigodecors.com/web/image/product.product/4758/image_1920;https://www.indigodecors.com/web/image/product.product/4974/image_1920;https://www.indigodecors.com/web/image/product.template/287/image_1920,D:\01_Trabajo\Indigo\scraping\output\images\id01-dd\01.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id01-dd\02.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id01-dd\03.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id01-dd\04.jpg,https://www.indigodecors.com/shop/id01-dd-287,id01-dd,287,
,ID01-SD,$0.00,,High-Impact Doors > SINGLE DOORS,"{""Finish Color"": [""Black"", ""White"", ""Bronze""], ""Width"": [""in & eights""], ""Height"": [""in & eights""], ""Privacy Glass"": [""No"", ""Yes""], ""Door Brand"": [""ESW"", ""MRGLASS"", ""ECO"", ""CGI"", ""DORALUM"", ""PGT"", ""CWS"", ""SIW-MARVIN"", ""EUROTECH"", ""LAWSON"", ""V&V"", ""SUNSHINE""]}",4,https://www.indigodecors.com/web/image/product.product/5238/image_1920;https://www.indigodecors.com/web/image/product.product/5239/image_1920;https://www.indigodecors.com/web/image/product.product/5240/image_1920;https://www.indigodecors.com/web/image/product.template/312/image_1920,D:\01_Trabajo\Indigo\scraping\output\images\id01-sd\01.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id01-sd\02.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id01-sd\03.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id01-sd\04.jpg,https://www.indigodecors.com/shop/id01-sd-312,id01-sd,312,
,ID02-DD,$0.00,,High-Impact Doors,"{""Finish Color"": [""Black"", ""White"", ""Bronze""], ""Width"": [""in & eights""], ""Height"": [""in & eights""], ""Handing"": [""Double""], ""Privacy Glass"": [""No"", ""Yes""], ""Door Brand"": [""ESW"", ""MRGLASS"", ""ECO"", ""CGI"", ""DORALUM"", ""PGT"", ""CWS"", ""SIW-MARVIN"", ""EUROTECH"", ""LAWSON"", ""V&V"", ""SUNSHINE""]}",4,https://www.indigodecors.com/web/image/product.product/5295/image_1920;https://www.indigodecors.com/web/image/product.product/5296/image_1920;https://www.indigodecors.com/web/image/product.product/5297/image_1920;https://www.indigodecors.com/web/image/product.template/401/image_1920,D:\01_Trabajo\Indigo\scraping\output\images\id02-dd\01.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id02-dd\02.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id02-dd\03.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id02-dd\04.jpg,https://www.indigodecors.com/shop/id02-dd-401,id02-dd,401,
,ID02-SD,$0.00,,High-Impact Doors > SINGLE DOORS,"{""Finish Color"": [""Black"", ""White"", ""Bronze""], ""Width"": [""in & eights""], ""Height"": [""in & eights""], ""Privacy Glass"": [""No"", ""Yes""], ""Door Brand"": [""ESW"", ""MRGLASS"", ""ECO"", ""CGI"", ""DORALUM"", ""PGT"", ""CWS"", ""SIW-MARVIN"", ""EUROTECH"", ""LAWSON"", ""V&V"", ""SUNSHINE""]}",4,https://www.indigodecors.com/web/image/product.product/5298/image_1920;https://www.indigodecors.com/web/image/product.product/5299/image_1920;https://www.indigodecors.com/web/image/product.product/5300/image_1920;https://www.indigodecors.com/web/image/product.template/402/image_1920,D:\01_Trabajo\Indigo\scraping\output\images\id02-sd\01.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id02-sd\02.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id02-sd\03.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id02-sd\04.jpg,https://www.indigodecors.com/shop/id02-sd-402,id02-sd,402,
,ID03-DD,$0.00,,High-Impact Doors,"{""Finish Color"": [""Black"", ""White"", ""Bronze""], ""Width"": [""in & eights""], ""Height"": [""in & eights""], ""Handing"": [""Double""], ""Privacy Glass"": [""No"", ""Yes""], ""Door Brand"": [""ESW"", ""MRGLASS"", ""ECO"", ""CGI"", ""DORALUM"", ""PGT"", ""CWS"", ""SIW-MARVIN"", ""EUROTECH"", ""LAWSON"", ""V&V"", ""SUNSHINE""]}",4,https://www.indigodecors.com/web/image/product.product/4981/image_1920;https://www.indigodecors.com/web/image/product.product/4982/image_1920;https://www.indigodecors.com/web/image/product.product/4983/image_1920;https://www.indigodecors.com/web/image/product.template/313/image_1920,D:\01_Trabajo\Indigo\scraping\output\images\id03-dd\01.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id03-dd\02.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id03-dd\03.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id03-dd\04.jpg,https://www.indigodecors.com/shop/id03-dd-313,id03-dd,313,
,ID03-SD,$0.00,,High-Impact Doors > SINGLE DOORS,"{""Finish Color"": [""Black"", ""White"", ""Bronze""], ""Width"": [""in & eights""], ""Height"": [""in & eights""], ""Privacy Glass"": [""No"", ""Yes""], ""Door Brand"": [""ESW"", ""MRGLASS"", ""ECO"", ""CGI"", ""DORALUM"", ""PGT"", ""CWS"", ""SIW-MARVIN"", ""EUROTECH"", ""LAWSON"", ""V&V"", ""SUNSHINE""]}",4,https://www.indigodecors.com/web/image/product.product/5277/image_1920;https://www.indigodecors.com/web/image/product.product/5278/image_1920;https://www.indigodecors.com/web/image/product.product/5279/image_1920;https://www.indigodecors.com/web/image/product.template/310/image_1920,D:\01_Trabajo\Indigo\scraping\output\images\id03-sd\01.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id03-sd\02.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id03-sd\03.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id03-sd\04.jpg,https://www.indigodecors.com/shop/id03-sd-310,id03-sd,310,
,ID04-DD,$0.00,,High-Impact Doors,"{""Finish Color"": [""Black"", ""White"", ""Bronze""], ""Width"": [""in & eights""], ""Height"": [""in & eights""], ""Handing"": [""Double""], ""Privacy Glass"": [""No"", ""Yes""], ""Door Brand"": [""ESW"", ""MRGLASS"", ""ECO"", ""CGI"", ""DORALUM"", ""PGT"", ""CWS"", ""SIW-MARVIN"", ""EUROTECH"", ""LAWSON"", ""V&V"", ""SUNSHINE""]}",4,https://www.indigodecors.com/web/image/product.product/4984/image_1920;https://www.indigodecors.com/web/image/product.product/4985/image_1920;https://www.indigodecors.com/web/image/product.product/4986/image_1920;https://www.indigodecors.com/web/image/product.template/314/image_1920,D:\01_Trabajo\Indigo\scraping\output\images\id04-dd\01.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id04-dd\02.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id04-dd\03.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id04-dd\04.jpg,https://www.indigodecors.com/shop/id04-dd-314,id04-dd,314,
,ID04-SD,$0.00,,High-Impact Doors > SINGLE DOORS,"{""Finish Color"": [""Black"", ""White"", ""Bronze""], ""Width"": [""in & eights""], ""Height"": [""in & eights""], ""Privacy Glass"": [""No"", ""Yes""], ""Door Brand"": [""ESW"", ""MRGLASS"", ""ECO"", ""CGI"", ""DORALUM"", ""PGT"", ""CWS"", ""SIW-MARVIN"", ""EUROTECH"", ""LAWSON"", ""V&V"", ""SUNSHINE""]}",4,https://www.indigodecors.com/web/image/product.product/5280/image_1920;https://www.indigodecors.com/web/image/product.product/5281/image_1920;https://www.indigodecors.com/web/image/product.product/5282/image_1920;https://www.indigodecors.com/web/image/product.template/136/image_1920,D:\01_Trabajo\Indigo\scraping\output\images\id04-sd\01.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id04-sd\02.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id04-sd\03.jpg;D:\01_Trabajo\Indigo\scraping\output\images\id04-sd\04.jpg,https://www.indigodecors.com/shop/id04-sd-136,id04-sd,136,
